Agent Name,Agent Company,price,Address Line 1,Address Line 2,bed,bath,parking,floor_space,region,latitude,longitude
Tomeeka Zielinski,,$670 per week | Grand Home with High Ceilings,"7 Blacksmith Street,",CLIFTLEIGH NSW 2321,4 Beds,2 Baths,2 Parking,451m²,latrobe-valley-vicwangaratta-vic,-32.7893663,151.5128925
Ryan Mitchell,,$550 per week | Partly Furnished,"1/71 Osborn Avenue,",MUSWELLBROOK NSW 2333,3 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-32.2783348,150.8879675
Meleah Morris,,$430 weekly,"1/20 Justine Parade,",RUTHERFORD NSW 2320,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-32.7090222,151.519136
Sylvia Mesoina,,"$1,200 per week","3A Bain Place,",DUNDAS VALLEY NSW 2117,4 Beds,3 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-33.793335,151.057577
Laura Kelly,,$1050 Per Week,"68 Ivy Street,",DARLINGTON NSW 2330,3 Beds,1 Bath, Parking,,latrobe-valley-vicwangaratta-vic,-33.8900487,151.1956231
Cooper Cavallo,,$475 per week,"7/21 Moore Street,",MOONEE PONDS VIC 3039,1 Bed,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-37.7685092,144.9200385
Yejin (Jenny) Seol,,$670 ,"61 Supply Street,",DUNDAS VALLEY NSW 2117,3 Beds,1 Bath,2 Parking,,latrobe-valley-vicwangaratta-vic,-33.788048,151.05522
Jasmine Wheeler,,$400 ,"1/192A Chandlers Hill Road,",HAPPY VALLEY SA 5159,1 Bed,1 Bath,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.0804478,138.5675526
Natalie Fehlberg,,$460.00 per week,"77 Charlotte Street,",NEW NORFOLK TAS 7140,3 Beds,1 Bath,2 Parking,,latrobe-valley-vicwangaratta-vic,-42.7891229,147.0548326
Bradley Shadlow,,$600 per week,"35 Devon Street,",GRETA NSW 2334,4 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-32.6717918,151.3862909
Erin Slade,,$440 per week | Ideal for Shift Workers,"106 Maitland Street,",MUSWELLBROOK NSW 2333,3 Beds,1 Bath, Parking,,latrobe-valley-vicwangaratta-vic,-32.269738,150.8882181
Natalie Scinto,,$480 per week,"44 Flockhart Avenue,",VALLEY VIEW SA 5093,3 Beds,1 Bath,4 Parking,,latrobe-valley-vicwangaratta-vic,-34.8415355,138.6704047
Lucy Grice,,$540 p.w,"77 Native Corners Road,",CAMPANIA TAS 7026,3 Beds,2 Baths, Parking,,latrobe-valley-vicwangaratta-vic,-42.6520866,147.4056027
Renee Moore,,$620.00 Per Week,"16 Royston Circuit,",FARLEY NSW 2320,4 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-32.7295806,151.5109152
Bradley Shadlow,,$460 per week | Water Included,"7B Jersey Street,",GILLIESTON HEIGHTS NSW 2321,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-32.768159,151.523305
Belinda Bean,,"$1,050 per week","12 O'Connell Place,",RED HILL QLD 4059,3 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-27.4561038,153.0048394
Bradley Shadlow,,$670 per week | McDonald Jones Home,"9 Lapwing Street,",ABERGLASSLYN NSW 2320,4 Beds,2 Baths,2 Parking,495m²,latrobe-valley-vicwangaratta-vic,-32.6934593,151.546537
Zac Keltie,,$850 per week,"14 Dickens Street,",MOONEE PONDS VIC 3039,3 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-37.7717185,144.9272268
Jeremy Paikaew,,$675 per week,"1713/179 Alfred Street,",FORTITUDE VALLEY QLD 4006,1 Bed,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,47.35156,8.10669
Kelly Smyth,,$750 ,"86 Rigby Drive,",NORTH ROTHBURY NSW 2335,4 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,46.58311,6.88295
Carol Hartlett,,$580 per week,"19 Stone Road,",HAPPY VALLEY SA 5159,3 Beds,1 Bath,4 Parking,,latrobe-valley-vicwangaratta-vic,-35.0814718,138.5622385
Erin Slade,,$550 per week | Great family home,"2/86 Tindale Street,",MUSWELLBROOK NSW 2333,4 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-32.2737441,150.8826497
Tabi Yazdi,,$1160 PW I Level 15,"11505/5 Sam Sing Street,",WATERLOO NSW 2017,2 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,70.4991,23.97393
Winnie Wong,,Leased,"47 Alexander Street,",DUNDAS VALLEY NSW 2117,3 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-33.787647,151.053962
Casey Blaine,,FULLY FURNISHED - $420 PER WEEK,"5/8 Dale St,",KENNINGTON VIC 3550,1 Bed,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-36.7612758,144.3023453
Jasmine Wheeler,,$675 ,"4 Fairbrother Drive,",HAPPY VALLEY SA 5159,3 Beds,1 Bath,3 Parking,873m²,latrobe-valley-vicwangaratta-vic,-35.0870965,138.5913009
Cassandra Ambrose,,$525 ,"7 Heath Street,",BEGA NSW 2550,3 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-36.6756663,149.8366853
Tyler Fardell,,$585 per week,"26 Auburn Street,",GILLIESTON HEIGHTS NSW 2321,4 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-32.7674732,151.5243401
Tracey Coe,,$550 ,"1671a Nowra Road,",FITZROY FALLS NSW 2577,3 Beds,1 Bath, Parking,,latrobe-valley-vicwangaratta-vic,-34.65,150.48333
Breanna Wilson,,$530 per week,"2/9 Windermere Road,",LOCHINVAR NSW 2321,3 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-32.6994169,151.445072
,,$560 Per Week,"6 Latrobe Avenue,",PAKENHAM VIC 3810,3 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-38.0715931,145.451367
,,$500 Per Week,"7/164 Napier Street,",ESSENDON VIC 3040,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-37.7440895,144.9197012
,,$895 ,"28 Glenview Road,",STRATHMORE VIC 3041,3 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-37.7373213,144.9207357
,,$530pw - Under Offer,"902/19 Russell Street,",ESSENDON VIC 3040,2 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-37.7555686,144.9167994
,,$650 per week,"7/11 Hodnet Bend,",THE VINES WA 6069,3 Beds,2 Baths,2 Parking,270m²,latrobe-valley-vicwangaratta-vic,-31.7623708,115.9872899
,,$580 ,"21 Manchado Street,",TARNEIT VIC 3029,4 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-37.8826,144.7003
,,$410 ,"5/48 Scotia Street,",MOONEE PONDS VIC 3039,1 Bed,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-37.7703515,144.9052814
,,$700 per week,"401/9 Shuter Street,",MOONEE PONDS VIC 3039,2 Beds,2 Baths,1 Parking,7m²,latrobe-valley-vicwangaratta-vic,-37.7675792,144.9207019
,,$430 Per Week,"134 Warana Drive,",HAMPTON PARK VIC 3976,3 Beds,1 Bath,1 Parking,544m²,latrobe-valley-vicwangaratta-vic,-38.0330421,145.2799145
,,$740 ,"41 Clydebank Road,",ESSENDON WEST VIC 3040,3 Beds,1 Bath,3 Parking,,latrobe-valley-vicwangaratta-vic,-37.7559997,144.8881244
,,$850 pw / $3693 pcm,"1/7A Wiseman Court,",ESSENDON VIC 3040,4 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-37.7521745,144.9267519
,,$630.00 per week,"1/56 Glenard Drive,",EAGLEMONT VIC 3084,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-37.7612356,145.0721257
,,$795 weekly,"69 Ferry Pde,",NORTH ROTHBURY NSW 2335,5 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,46.58311,6.88295
,,$460 ,"3 Bent Street,",TAREE NSW 2430,3 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-31.9044504,152.4716147
,,$490 ,"204/35 Hall Street,",MOONEE PONDS VIC 3039,1 Bed,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-37.7661867,144.9232616
,,$575pw / $2499pcm,"18/43 Raleigh Street,",ESSENDON VIC 3040,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-37.7534371,144.9221626
,,$700 ,"52 Bulbul Cresent,",FLETCHER NSW 2287,3 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-32.87232,151.64008
,,$800 per week,"811/35 Furzer Street,",PHILLIP ACT 2606,3 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,$500.00 per week,"6/5 Parkhill Street,",PEARCE ACT 2607,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3629171,149.0807051
,,$540 per week + 1 week of free rent,"306/11 Launceston Street,",PHILLIP ACT 2606,2 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3413702,149.086896
,,$1200 per week,"10 Baas Becking Street,",WHITLAM ACT 2611,4 Beds,3 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.2743252,149.0445177
,,$650 per week,"4/61 Launceston Street,",LYONS ACT 2606,3 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3398343,149.0820314
,,$470 ,"706 Tinonee Road,",MONDROOK NSW 2430,3 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-31.9024341,152.3917953
,,$650 ,"20 Jacaranda Avenue,",TAREE NSW 2430,4 Beds,3 Baths,5 Parking,,latrobe-valley-vicwangaratta-vic,-31.8934285,152.4833005
,,$580 per week,"303/76 Steve Irwin Avenue,",WRIGHT ACT 2611,2 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3197585,149.0371889
,,$800 per week,"1506/15 Bowes Street,",PHILLIP ACT 2606,3 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3436934,149.0861817
,,$690 weekly,"30/2 Hopegood Place,",GARRAN ACT 2605,3 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3438019,149.1067768
,,$710 ,"1810/49 Furzer Street,",PHILLIP ACT 2606,3 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,$650 ,"1521D Moss Vale Rd,",KANGAROO VALLEY NSW 2577,4 Beds,2 Baths, Parking,,latrobe-valley-vicwangaratta-vic,-34.7271908,150.5207587
,,$620 Per Week,"4 Horrocks Street,",TORRENS ACT 2607,3 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3690238,149.0882282
,,$460 per week,"268/7 Irving Street,",PHILLIP ACT 2606,1 Bed,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3396914,149.0842859
,,$540 per week,"98/41 Philip Hodgins Street,",WRIGHT ACT 2611,2 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3201139,149.0319572
,,$500 weekly,"8/9 Farrer Place,",FARRER ACT 2607,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3757398,149.1015688
,,$620 per week,"15 Sulman Place,",PHILLIP ACT 2606,2 Beds,1 Bath,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3527116,149.0962572
,,"$1,300 ","89 Fox Valley Rd,",WAHROONGA NSW 2076,4 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-33.727729,151.110985
,,$1000 per week,"3 Gouger Street,",TORRENS ACT 2607,5 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3770862,149.0870009
,,$580 Per Week,"711/15 Bowes Street,",PHILLIP ACT 2606,2 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3436934,149.0861817
,,$430 per week,"141/41 Philip Hodgins Street,",WRIGHT ACT 2611,1 Bed,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3201139,149.0319572
,,$950 pw,"1/266 Abercrombie Street,",DARLINGTON NSW 2330,2 Beds,1 Bath, Parking,,latrobe-valley-vicwangaratta-vic,-33.8911102,151.1961307
,,$760 Per Week,"10 Pope Street,",HUGHES ACT 2605,3 Beds,1 Bath,3 Parking,"1,114m²",latrobe-valley-vicwangaratta-vic,-35.3368605,149.0910231
,,$530 pw,"313/1050 Mt Alexander Road,",ESSENDON VIC 3040,2 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-37.7538,144.8883
,,$595 pw,"311/333 Ascot Vale Road,",MOONEE PONDS VIC 3039,2 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-37.7667,144.9167
,,$930 - $950 per week,"117 Ada Norris Avenue,",DENMAN PROSPECT ACT 2611,4 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.303567,149.0187725
,,"$1,900 ","13 Amanda Street,",BROOKFIELD QLD 4069,7 Beds,5 Baths,9 Parking,1.85ha,latrobe-valley-vicwangaratta-vic,-27.5099123,152.9258298
,,"$1,150 per week","2203/49 Furzer Street,",PHILLIP ACT 2606,3 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,"$1,100 per week","2202/49 Furzer Street,",PHILLIP ACT 2606,3 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3406,149.074
,,$500 ,"146/7 Irving Street,",PHILLIP ACT 2606,1 Bed,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3396914,149.0842859
,,$700 weekly,"4a Harvey Road,",FOREST HILL QLD 4342,4 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-27.5721472,152.3867092
,,$720 per week,"621/15 Bowes Street,",PHILLIP ACT 2606,3 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3436934,149.0861817
,,$690 per week,"6A Esk Place,",LYONS ACT 2606,4 Beds,1 Bath,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3352501,149.0715599
,,$240 ,"63 Pintail Drive,",MELTON SOUTH VIC 3338,1 Bed,1 Bath, Parking,,latrobe-valley-vicwangaratta-vic,-37.719208,144.5789327
,,$250 ,"8 Jacobena Road,",MELTON SOUTH VIC 3338,1 Bed,1 Bath, Parking,,latrobe-valley-vicwangaratta-vic,-37.7140748,144.5662005
,,$380 - $400 per week,"220 Melrose Drive,",PHILLIP ACT 2606,1 Bed,1 Bath, Parking,,latrobe-valley-vicwangaratta-vic,-35.3452346,149.0830029
$620 pw,,$620 pw,"5A Eldon Place,",LYONS ACT 2606,3 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3364404,149.0762119
,,$675 per week,"13 Mawson Drive,",MAWSON ACT 2607,4 Beds,1 Bath,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.364237,149.0929098
,,$400.00 P/W,"67/4 Wilkins Street,",MAWSON ACT 2607,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3695091,149.0992764
,,$400 p.w,"11/a Address Upon Request,",CANNON VALLEY QLD 4800,1 Bed,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-20.28333,148.68333
,,"$1,200.00 ","24 Wattle Valley Road,",CANTERBURY VIC 3126,4 Beds,2 Baths, Parking,,latrobe-valley-vicwangaratta-vic,-37.8327908,145.0816254
,,$1650 per week,"16/10 Taronga Place,",O'MALLEY ACT 2606,4 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3570268,149.1085724
,,$500 per week,"1A Gerogery Place,",O'MALLEY ACT 2606,1 Bed,1 Bath,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3563784,149.1064636
,,$400 - $550 per week,"2 Furzer Street,",PHILLIP ACT 2606,1 Bed,1 Bath, Parking,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,$560 per week and 2 weeks free rent!,"1317/15 Bowes Street,",PHILLIP ACT 2606,2 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3436934,149.0861817
,,$525 Per Week,"43/G04 Arthur Blakeley Way,",COOMBS ACT 2611,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3159186,149.0373279
,,$3500.00 per week,"17 Greville Street,",CLOVELLY NSW 2031,7 Beds,4 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-33.9100583,151.2570188
,,$550 per week,"1705/49 Furzer Street,",PHILLIP ACT 2606,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,$570 weekly,"1703/15 Bowes Street,",PHILLIP ACT 2606,2 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3436934,149.0861817
,,$520 Per Week,"210/55 Collins Street,",ESSENDON VIC 3040,2 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-37.7467348,144.9072533
,,$580 pw,"1210/49 Furzer Street,",PHILLIP ACT 2606,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,$520 Per Week,"4/6 Antis Street,",PHILLIP ACT 2606,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3459528,149.0955551
,,$700 per week,"4 Horrocks Street,",TORRENS ACT 2607,3 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3690238,149.0882282
,,$645.00 ,"2 Canterbury Street,",HUGHESDALE VIC 3166,3 Beds,1 Bath,2 Parking,,latrobe-valley-vicwangaratta-vic,-37.901016,145.0818071
,,$700 weekly,"31/2 Hopegood Place,",GARRAN ACT 2605,3 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3438019,149.1067768
,,$725.00 per week,"14 Besant Street,",PEARCE ACT 2607,4 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3649448,149.0853477
,,$710 ,"1510/49 Furzer Street,",PHILLIP ACT 2606,3 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,$590 pw,"217/2 Terry Connolly Street,",COOMBS ACT 2611,2 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3212648,149.04567
,,$560pw,"612/2 Furzer Street,",PHILLIP ACT 2606,2 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,$575 pw,"Level 15, 1501/2 Furzer Street,",PHILLIP ACT 2606,2 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
$480 per week,,$480 per week,"49 Furzer Street,",PHILLIP ACT 2606,1 Bed,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,$450 per week,"1408/49 Furzer Street,",PHILLIP ACT 2606,1 Bed,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,$570 per week,"110 Paterson Road,",BOLWARRA NSW 2320,3 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-32.7073157,151.5761053
,,$650 per week,"16 Launceston Street,",LYONS ACT 2606,3 Beds,1 Bath,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3398343,149.0820314
,,$540 pw,"1105/49 Furzer Street,",PHILLIP ACT 2606,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3406,149.074
$670.00 weekly,,$670.00 weekly,"224 GEORGE STREET,",EAST MAITLAND NSW 2323,3 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-32.7526628,151.585183
,,$650 pw,"309/333 Ascot Vale Road,",MOONEE PONDS VIC 3039,2 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-37.7676521,144.9248711
