Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space
Certainty  Property Vic,Certainty Property,$275,"16 Astral Walk,",WOLLERT VIC 3750,1 Bed,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Certainty  Property Vic,Certainty Property,$240,"6 Songlark Street,",MELTON SOUTH VIC 3338,1 Bed,1 Bath,− Parking,N/A
Kim Te,Motion Property,$590 per week,"1002/1 Joseph Road,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,1 Parking,N/A
Evelyne Surja,Kay & Burton Stonnington,$1695 Per Week,"2 Rathmines Street,",TOORAK VIC 3142,3 Beds,2 Baths,2 Parking,N/A
Certainty  Property Vic,Certainty Property,$250,"17 Oakhill Terrace,",CHURCHILL VIC 3842,1 Bed,1 Bath,1 Parking,N/A
Casey Blaine,N/A,FULLY FURNISHED $430 PER WEEK,"3/8 Dale St,",KENNINGTON VIC 3550,1 Bed,1 Bath,1 Parking,N/A
Brandon Antrim,N/A,"$1,100.00","24 Bendigo Street,",COLLINGWOOD VIC 3066,3 Beds,1 Bath,− Parking,N/A
Casey Blaine,N/A,FULLY FURNISHED - $420 PER WEEK,"5/8 Dale St,",KENNINGTON VIC 3550,1 Bed,1 Bath,1 Parking,N/A
,N/A,$620 Per Week Fully Furnished,"167C Upper California Gully Road,",CALIFORNIA GULLY VIC 3556,3 Beds,2 Baths,2 Parking,N/A
,N/A,$480 Per Week,"7 View Street,",KANGAROO FLAT VIC 3555,4 Beds,1 Bath,2 Parking,N/A
,N/A,$580,"21 Manchado Street,",TARNEIT VIC 3029,4 Beds,2 Baths,2 Parking,N/A
,N/A,$360 Per Week,"3/323 View Street,",BENDIGO VIC 3550,2 Beds,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$600 Per week Fully Furnished,"3/19 Patrick Street,",EAST BENDIGO VIC 3550,2 Beds,1 Bath,1 Parking,N/A
,N/A,$380 per week,"2/44 Beischer Street,",EAST BENDIGO VIC 3550,2 Beds,1 Bath,1 Parking,N/A
,N/A,$550 Per Week,"444 Napier Street,",WHITE HILLS VIC 3550,4 Beds,2 Baths,2 Parking,465m²
,N/A,$430 Per Week,"205 Queen Street,",BENDIGO VIC 3550,2 Beds,1 Bath,− Parking,N/A
,N/A,$430 Per Week,"3 Commins Place,",FLORA HILL VIC 3550,3 Beds,2 Baths,1 Parking,N/A
,N/A,$700 Per Week,"102 Wattle Street,",BENDIGO VIC 3550,3 Beds,3 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$500 Per Week,"2 Eucalyptus Street,",JACKASS FLAT VIC 3556,4 Beds,2 Baths,2 Parking,N/A
,N/A,$350 Per Week,"2/9 Reception Avenue,",STRATHDALE VIC 3550,2 Beds,1 Bath,1 Parking,N/A
,N/A,$680 Per Week,"96 Bendigo Street,",PRAHRAN VIC 3181,3 Beds,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$240,"63 Pintail Drive,",MELTON SOUTH VIC 3338,1 Bed,1 Bath,− Parking,N/A
,N/A,$250,"8 Jacobena Road,",MELTON SOUTH VIC 3338,1 Bed,1 Bath,− Parking,N/A
,N/A,$730 Parkside living Highspeed unlimited WiFi PetFriendly,"224/109 Manningham St,",PARKVILLE VIC 3052,1 Bed,1 Bath,1 Parking,N/A
,N/A,$665 Parkside living Highspeed unlimited WiFi PetFriendly,"225/109 Manningham St,",PARKVILLE VIC 3052,2 Beds,2 Baths,1 Parking,N/A
,N/A,$750 per week Parkside living Highspeed unlimited WiFi PetFriendly,"403/109 Manningham St,",PARKVILLE VIC 3052,2 Beds,2 Baths,1 Parking,N/A
,N/A,$950 Parkside living Highspeed unlimited WiFi PetFriendly,"607/109 109 Manningham St,",PARKVILLE VIC 3052,2 Beds,2 Baths,1 Parking,N/A
,N/A,$670 Parkside living Highspeed unlimited WiFi PetFriendly,"121 109 Manningham St,",PARKVILLE VIC 3052,1 Bed,1 Bath,1 Parking,N/A
$595 - $596 per week,,$595 - $596 per week,"33 Currong Street,",REID ACT 2612,2 Beds,1 Bath,1 Parking,N/A
,N/A,$510 per week,"207/6 Leicester Street,",CARLTON VIC 3053,1 Bed,1 Bath,− Parking,N/A
,N/A,$450 per week,"Unit 1113/6 Leicester St,",CARLTON VIC 3053,1 Bed,1 Bath,− Parking,N/A
,N/A,$725 per week,"3/462 Como Parade West,",MORDIALLOC VIC 3195,2 Beds,2 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$250 per week,N/A,WILLIAMSTOWN VIC 3016,6 Beds,3 Baths,− Parking,N/A
,N/A,$700.00,"505/300 Swanston Street,",MELBOURNE VIC 3000,2 Beds,1 Bath,1 Parking,N/A
,N/A,$670 per week,"30 Healey Drive,",EPPING VIC 3076,5 Beds,2 Baths,8 Parking,500m²
,N/A,$950 Per Week,"7/398 Elgar Road,",BOX HILL VIC 3128,4 Beds,4 Baths,1 Parking,N/A
,N/A,$600,"204/150 Great Eastern Highway,",ASCOT WA 6104,1 Bed,1 Bath,1 Parking,N/A
,N/A,$650 Per Week,"7/2-8 Palmerston Street,",ST JAMES WA 6102,3 Beds,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$510.00,"6 Morrow Road,",GISBORNE VIC 3437,3 Beds,1 Bath,3 Parking,N/A
,N/A,$700 weekly,"3 Timor Cl,",BURWOOD VIC 3125,3 Beds,2 Baths,2 Parking,N/A
,N/A,$400 per week,"115 Violet Street,",BENDIGO VIC 3550,3 Beds,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$780 per week,"5/48 Oxley Rd,",HAWTHORN VIC 3122,3 Beds,2 Baths,2 Parking,N/A
,N/A,$350 weekly,"6/21 John Street,",KANGAROO FLAT VIC 3555,1 Bed,1 Bath,1 Parking,N/A
,N/A,$355 per week,"239/386 Burwood Highway,",BURWOOD VIC 3125,1 Bed,1 Bath,− Parking,N/A
,N/A,$500 per week,"45 Jobs Gully Road,",EAGLEHAWK VIC 3556,4 Beds,2 Baths,1 Parking,N/A
,N/A,$850 weekly,"2004/103 South Wharf Drive,",DOCKLANDS VIC 3008,2 Beds,2 Baths,1 Parking,N/A
,N/A,$490 weekly,"34 Soldatos Drive,",GOLDEN SQUARE VIC 3555,3 Beds,2 Baths,2 Parking,N/A
,N/A,$400 weekly,"3/15 Tallis Street,",NORLANE VIC 3214,2 Beds,2 Baths,1 Parking,N/A
,N/A,$500.00,"2/42 Raleigh Road,",MARIBYRNONG VIC 3032,2 Beds,1 Bath,1 Parking,N/A
,N/A,$470.00 per week,"18 Owen Street,",KENNINGTON VIC 3550,3 Beds,1 Bath,− Parking,N/A
,N/A,$550,"21 Fifth Avenue,",ALTONA NORTH VIC 3025,3 Beds,1 Bath,1 Parking,N/A
,N/A,$650.00 per week - Fully Furnished,"81 Baxter St,",BENDIGO VIC 3550,3 Beds,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$400.00 per week,"1 Denovan Street,",EAST BENDIGO VIC 3550,3 Beds,1 Bath,1 Parking,N/A
,N/A,$560.00,"805/408 Spencer Street,",WEST MELBOURNE VIC 3003,1 Bed,1 Bath,− Parking,N/A
,N/A,$490 weekly,"22 Condon St,",KENNINGTON VIC 3550,3 Beds,1 Bath,1 Parking,N/A
,N/A,$750.00 per week,N/A,MELBOURNE VIC 3000,2 Beds,2 Baths,− Parking,N/A
,N/A,$635 per week,"4 Lakewood Drive,",KENNINGTON VIC 3550,3 Beds,2 Baths,2 Parking,N/A
,N/A,$575.00 per week,"41 Railway Place,",GOORNONG VIC 3557,3 Beds,2 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$430.00,"1406/557-561 Little Lonsdale Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,N/A
,N/A,$380 weekly,"1 Syncline Ct,",LONG GULLY VIC 3550,3 Beds,1 Bath,2 Parking,N/A
,N/A,$345 per week,"117/386 Burwood Highway,",BURWOOD VIC 3125,1 Bed,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$590 per week,"32 Golconda Avenue,",FRANKSTON VIC 3199,3 Beds,1 Bath,2 Parking,N/A
,N/A,$380 PER WEEK,"313 King Street,",BENDIGO VIC 3550,2 Beds,1 Bath,2 Parking,N/A
,N/A,$380 per week,"6/406 Lower Heidelberg Road,",EAGLEMONT VIC 3084,1 Bed,1 Bath,1 Parking,100m²
,N/A,$700.00,"35/174 Peel Street,",WINDSOR VIC 3181,2 Beds,2 Baths,1 Parking,N/A
,N/A,$590 per week,"8 Tynong Street,",CROYDON VIC 3136,3 Beds,1 Bath,1 Parking,877m²
,N/A,$500,"4 Waugh Street,",ROCKBANK VIC 3335,4 Beds,2 Baths,2 Parking,N/A
,N/A,$995,"122A Sussex Street,",EAST VICTORIA PARK WA 6101,4 Beds,2 Baths,2 Parking,N/A
,N/A,$450.00 per week,"5/3 Ryan Street,",NORTH BENDIGO VIC 3550,2 Beds,1 Bath,1 Parking,N/A
,N/A,$600 per week,"6 Athena Way,",STRATHFIELDSAYE VIC 3551,5 Beds,2 Baths,2 Parking,N/A
,N/A,$600 per week,"24 Jarrod Drive,",MCKENZIE HILL VIC 3451,4 Beds,2 Baths,2 Parking,N/A
,N/A,$480,"8 Chorley Street,",STRATHTULLOH VIC 3338,4 Beds,2 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$510 per week,"7 Waler Street,",AINTREE VIC 3336,3 Beds,2 Baths,2 Parking,N/A
,N/A,$470.00 per week,"4 The Terrace,",KENNINGTON VIC 3550,3 Beds,1 Bath,1 Parking,N/A
,N/A,$750 per week,"178 Nicholson St,",BRUNSWICK EAST VIC 3057,2 Beds,1 Bath,1 Parking,247m²
,N/A,$680 per week,"10/8 Riversdale Road,",BURSWOOD WA 6100,1 Bed,1 Bath,1 Parking,N/A
,N/A,$450 weekly,"601/150 Dudley St,",WEST MELBOURNE VIC 3003,− 0 Beds,1 Bath,1 Parking,N/A
,N/A,$450 per week,"58 Broadway,",ELWOOD VIC 3184,1 Bed,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$650 per week,"512/668 Swanston Street,",CARLTON VIC 3053,1 Bed,1 Bath,1 Parking,N/A
,N/A,$550 per week,"4a Canrobert Street,",NEWSTEAD VIC 3462,3 Beds,2 Baths,2 Parking,N/A
,N/A,$450 per week,"7B Wirth Street,",FLORA HILL VIC 3550,3 Beds,2 Baths,2 Parking,216m²
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$650 Per Week,"4 Crawley Court,",VIEWBANK VIC 3084,3 Beds,2 Baths,2 Parking,N/A
,N/A,$490 per week,"37 Sunset Boulevard,",JACANA VIC 3047,3 Beds,1 Bath,− Parking,639m²
,N/A,$750,"77 Hemingway Drive,",ROCKBANK VIC 3335,5 Beds,5 Baths,2 Parking,N/A
,N/A,$640 PER WEEK,"2 Wigan Close,",WOLLERT VIC 3750,4 Beds,2 Baths,4 Parking,N/A
,N/A,$420.00 per week,"477 High Street,",GOLDEN SQUARE VIC 3555,3 Beds,1 Bath,− Parking,"1,012m²"
,N/A,$480 weekly,"2/8 Martin St,",GOLDEN GULLY VIC 3555,4 Beds,2 Baths,2 Parking,N/A
,N/A,$520 weekly,"58 Whirrakee Parade,",HUNTLY VIC 3551,4 Beds,2 Baths,2 Parking,N/A
,N/A,$385.00 per week,"2/46 Mackenzie St West,",GOLDEN SQUARE VIC 3555,2 Beds,1 Bath,1 Parking,N/A
,N/A,$590 weekly,"107/19 Irving Ave,",BOX HILL VIC 3128,2 Beds,1 Bath,1 Parking,N/A
,N/A,Under Application - Deposit Taken,"1301/557 Little Lonsdale St,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,N/A
,N/A,$580 weekly,"5/59 Tooronga Rd,",MALVERN EAST VIC 3145,2 Beds,1 Bath,1 Parking,"1,091m²"
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$430 PER WEEK,"5 Marshall Street,",KENNINGTON VIC 3550,3 Beds,1 Bath,1 Parking,N/A
,N/A,$520,"106/501-503 Plenty Road,",PRESTON VIC 3072,2 Beds,2 Baths,1 Parking,N/A
,N/A,$580,"15/163 Hubert Street,",EAST VICTORIA PARK WA 6101,2 Beds,1 Bath,1 Parking,N/A
,N/A,$550,"4 Henderson Drive,",TARNEIT VIC 3029,4 Beds,2 Baths,2 Parking,N/A
,N/A,"$580.00 per week $2,520.00 per month",".20 Kosa Avenue,",SUNSHINE WEST VIC 3020,3 Beds,2 Baths,2 Parking,N/A
,N/A,$350 per week,"222 High Street,",HEATHCOTE VIC 3523,2 Beds,1 Bath,4 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$425 per week,"14 Ebden Street,",HEATHCOTE VIC 3523,3 Beds,1 Bath,3 Parking,N/A
,N/A,$700.00 per week incl. pool servicing & gardener,"8 Northmoor Drive,",STRATHDALE VIC 3550,4 Beds,2 Baths,2 Parking,N/A
,N/A,$800 per week,"70 Cobram Drive,",EYNESBURY VIC 3338,5 Beds,3 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$430.00 per week,"3 Walls Street,",EAGLEHAWK VIC 3556,3 Beds,1 Bath,2 Parking,N/A
,N/A,$465 per week,"1/381 Middleborough Road,",BOX HILL VIC 3128,2 Beds,1 Bath,− Parking,N/A
,N/A,$460,"1610/6 Leicester Street,",CARLTON VIC 3053,1 Bed,1 Bath,− Parking,N/A
,N/A,$525 PER WEEK,"7 Dylana Court,",KANGAROO FLAT VIC 3555,3 Beds,2 Baths,2 Parking,N/A
,N/A,"$1,075 weekly","42 Fairview Rd,",MOUNT WAVERLEY VIC 3149,5 Beds,2 Baths,2 Parking,N/A
,N/A,$580pw /$2520pcm,"20 Bent Street,",BUNDOORA VIC 3083,4 Beds,1 Bath,1 Parking,N/A
,N/A,$600 per week,"723 Midland Highway,",HUNTLY VIC 3551,5 Beds,2 Baths,2 Parking,N/A
,N/A,$975 per week,"506/1 Dank Street West,",PORT MELBOURNE VIC 3207,3 Beds,1 Bath,2 Parking,N/A
,N/A,$650 weekly,"79 Ardmillan Rd,",MOONEE PONDS VIC 3039,3 Beds,1 Bath,2 Parking,N/A
,N/A,Under Application - Deposit Taken,"1302/557 Little Lonsdale St,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,N/A
,N/A,$520 per week,"6 McClellans Crescent,",ARGYLE VIC 3523,4 Beds,1 Bath,4 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,6 Month Lease - $550 per week,"5718 Calder Highway,",KANGAROO FLAT VIC 3555,4 Beds,2 Baths,3 Parking,1.42ha
,N/A,Under Application,"133 Nelson Rd,",BOX HILL NORTH VIC 3129,3 Beds,1 Bath,2 Parking,N/A
,N/A,$650 PW,"11 Bangalay Place,",POINT COOK VIC 3030,4 Beds,2 Baths,2 Parking,572m²
,N/A,$530 per week,"701/6 Leicester Street,",CARLTON VIC 3053,2 Beds,1 Bath,− Parking,N/A
,N/A,$445 weekly,"19 Willan Street,",EAGLEHAWK VIC 3556,3 Beds,1 Bath,1 Parking,N/A
,N/A,$500,"9 Kerala Street,",ROCKBANK VIC 3335,4 Beds,2 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$480 per week,"817 18-28 Albert Street,",FOOTSCRAY VIC 3011,2 Beds,1 Bath,1 Parking,N/A
,N/A,"$3,500 per week","28 Janelle Way,",OCEAN GROVE VIC 3226,3 Beds,2 Baths,4 Parking,600m²
,N/A,$510,"46 Bluebottle Parade,",ROCKBANK VIC 3335,4 Beds,2 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$335 per week,"235/386 Burwood Highway,",BURWOOD VIC 3125,1 Bed,1 Bath,− Parking,N/A
,N/A,$500 weekly,"10 Heysen Way,",HUNTLY VIC 3551,3 Beds,2 Baths,2 Parking,N/A
,N/A,$570 per week,"2508/31 A'Beckett St,",MELBOURNE VIC 3000,1 Bed,1 Bath,1 Parking,N/A
,N/A,$550,"15 Westbury Ave,",ROCKBANK VIC 3335,5 Beds,2 Baths,2 Parking,512m²
,N/A,FULLY FURNISHED - $750 per week,"9 Rathlin Avenue,",JUNORTOUN VIC 3551,3 Beds,2 Baths,2 Parking,N/A
,N/A,$500 per week,"19-23 Marnie Road,",KENNINGTON VIC 3550,4 Beds,1 Bath,2 Parking,N/A
,N/A,Under Application - Deposit Taken,"702/845-851 Whitehorse Rd,",BOX HILL VIC 3128,3 Beds,2 Baths,1 Parking,N/A
,N/A,$750 - Large Warehouse-Style Apartment!,"35/1 Flagstaff Lane,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,1 Parking,N/A
,N/A,$560 weekly,"1006/545 Station St,",BOX HILL VIC 3128,1 Bed,1 Bath,1 Parking,N/A
,N/A,$480,"16 Zoe Street,",ROCKBANK VIC 3335,3 Beds,2 Baths,2 Parking,N/A
,N/A,$590 per week,"409/2 Hallenstein Street,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$510 per week,"1 Blande Court,",LARA VIC 3212,3 Beds,2 Baths,2 Parking,N/A
,N/A,Contact Agent,"44/145 Canterbury Road,",TOORAK VIC 3142,1 Bed,1 Bath,− Parking,N/A
,N/A,$800.00,"1806/408 Spencer Street,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,1 Parking,N/A
,N/A,$450,"20 GRAPPENHALL AVENUE,",STRATHTULLOH VIC 3338,4 Beds,2 Baths,2 Parking,N/A
,N/A,$650 weekly,"606/12-14 Nelson Rd,",BOX HILL VIC 3128,2 Beds,2 Baths,1 Parking,N/A
,N/A,335 per week,"130/386 Burwood Highway,",BURWOOD VIC 3125,1 Bed,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$490.00 per week,"320 Barnard Street,",IRONBARK VIC 3550,4 Beds,2 Baths,2 Parking,N/A
,N/A,$600 per week,N/A,LALOR VIC 3075,3 Beds,1 Bath,2 Parking,N/A
,N/A,$900 weekly,"1086 Settlement Rd,",CLARKEFIELD VIC 3430,4 Beds,2 Baths,2 Parking,"80,500m²"
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$540.00,"1 Russell Avenue,",WOODEND VIC 3442,3 Beds,1 Bath,3 Parking,N/A
,N/A,$595 per week,"32 Victoria,",PRESTON VIC 3072,2 Beds,1 Bath,2 Parking,165m²
,N/A,$550 weekly,"1 Lexton Rd,",BOX HILL NORTH VIC 3129,3 Beds,1 Bath,2 Parking,N/A
,N/A,$395 per week,"17/92 Grey St,",ST KILDA VIC 3182,− 0 Beds,1 Bath,− Parking,30m²
N/A,N/A,$600 pw,"25 Callanish Street,",TRUGANINA VIC 3029,4 Beds,2 Baths,2 Parking,N/A
,N/A,$530 weekly,"8 Wattle St,",BOX HILL NORTH VIC 3129,3 Beds,1 Bath,2 Parking,N/A
,N/A,$325 per week,N/A,PARK ORCHARDS VIC 3114,6 Beds,3 Baths,3 Parking,"4,298m²"
,N/A,"$1,950 per week","112 Harold St,",MIDDLE PARK VIC 3206,4 Beds,3 Baths,2 Parking,N/A
,N/A,"$1,150 weekly","280A Tucker Rd,",ORMOND VIC 3204,4 Beds,3 Baths,2 Parking,N/A
,N/A,$525.00,"206 Gatehouse Place,",MARIBYRNONG VIC 3032,2 Beds,1 Bath,1 Parking,N/A
,N/A,$630 per week,"2712/500 Elizabeth Street,",MELBOURNE VIC 3000,2 Beds,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$750 per week,N/A,MOUNT WAVERLEY VIC 3149,3 Beds,3 Baths,1 Parking,N/A
,N/A,$620 pw,"15 Leeward Drive,",TARNEIT VIC 3029,4 Beds,2 Baths,2 Parking,N/A
,N/A,$460.00 per week - Fully Furnished,"1/9A Smith Street,",NORTH BENDIGO VIC 3550,1 Bed,1 Bath,1 Parking,N/A
,N/A,$580 PER WEEK,"7 Lauradan Way,",WOLLERT VIC 3750,4 Beds,2 Baths,2 Parking,N/A
N/A,N/A,$510 pw,"41 Holman Crescent,",BACCHUS MARSH VIC 3340,4 Beds,2 Baths,2 Parking,N/A
,N/A,$400 weekly,"1 Dyason Ct,",LONG GULLY VIC 3550,3 Beds,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$445.00,"43 Railway Street,",KANGAROO FLAT VIC 3555,2 Beds,1 Bath,1 Parking,N/A
,N/A,$475 per week.,"3A Fountain Street,",MALDON VIC 3463,2 Beds,1 Bath,− Parking,N/A
,N/A,$525,"G11/110 Roberts Street,",WEST FOOTSCRAY VIC 3012,2 Beds,2 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$550 per week,"11 Carina Court,",POINT COOK VIC 3030,4 Beds,2 Baths,− Parking,N/A
,N/A,$400 per week,"2 Truscott Avenue,",CALIFORNIA GULLY VIC 3556,3 Beds,1 Bath,2 Parking,N/A
,N/A,$210 weekly,"1/133 Raleigh Road,",MARIBYRNONG VIC 3032,1 Bed,1 Bath,− Parking,N/A
,N/A,$445 per week,"7/1 Fiona Court,",ST KILDA VIC 3182,1 Bed,1 Bath,1 Parking,N/A
,N/A,$500 weekly,"2 Ascot Ct,",NORTH BENDIGO VIC 3550,3 Beds,2 Baths,2 Parking,N/A
,N/A,$800 per week,"1/5 Jaguar Dr,",CLAYTON VIC 3168,4 Beds,3 Baths,2 Parking,N/A
,N/A,$650 per week Unfurnished,"1 Tuckett Street,",ALPHINGTON VIC 3078,3 Beds,1 Bath,2 Parking,N/A
,N/A,$670 per week,"205/8 Sutherland Street,",MELBOURNE VIC 3000,2 Beds,2 Baths,− Parking,N/A
,N/A,"$450.00 per Week $1,955.00","39 Shillings Road,",MAMBOURIN VIC 3024,3 Beds,2 Baths,2 Parking,N/A
,N/A,$500.00 Per Week,"971a Albany Highway,",EAST VICTORIA PARK WA 6101,1 Bed,1 Bath,2 Parking,N/A
,N/A,"$1,395 per week","21A Peel St,",KEW VIC 3101,4 Beds,3 Baths,2 Parking,380m²
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,"$420 per week $1,825.00","24 Hensbergh Place,",SUNSHINE WEST VIC 3020,1 Bed,1 Bath,1 Parking,N/A
,N/A,$620 PER WEEK,"11 Blunsdon Road,",WOLLERT VIC 3750,4 Beds,2 Baths,2 Parking,N/A
,N/A,$460.00 Per Week,"21 Nivea Street,",MAMBOURIN VIC 3024,3 Beds,2 Baths,2 Parking,N/A
,N/A,$600,"2 Ranni Place,",BONNIE BROOK VIC 3335,4 Beds,2 Baths,3 Parking,428m²
,N/A,$700 weekly,"9 Glenview Rd,",DONCASTER EAST VIC 3109,3 Beds,2 Baths,2 Parking,N/A
,N/A,$530 per week,"54 SOLITUDE CRESCENT,",POINT COOK VIC 3030,4 Beds,2 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$740.00,"1307/408 Spencer Street,",WEST MELBOURNE VIC 3003,2 Beds,1 Bath,− Parking,N/A
,N/A,$780 per week,"2011/371 Little Lonsdale Street,",MELBOURNE VIC 3000,2 Beds,2 Baths,− Parking,N/A
,N/A,$800.00,"902/408 Spencer Street,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$650 per week,"1102/555 Swanston Street,",CARLTON VIC 3053,2 Beds,2 Baths,− Parking,N/A
,N/A,$650 per week Fully Furnished,"1/4A Ruth Street,",GOLDEN SQUARE VIC 3555,3 Beds,1 Bath,2 Parking,N/A
,N/A,$420 Per Week,"345B High Street,",KANGAROO FLAT VIC 3555,3 Beds,2 Baths,2 Parking,N/A
,N/A,$750.00,"309/408 Spencer Street,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,1 Parking,N/A
,N/A,$600,"14B Kinlock Avenue,",FERNDALE WA 6148,3 Beds,1 Bath,3 Parking,N/A
,N/A,$520,"22 Driftwood Street,",AINTREE VIC 3336,4 Beds,2 Baths,2 Parking,N/A
,N/A,"$1,550 per week","201/1 Wallace Avenue,",TOORAK VIC 3142,2 Beds,2 Baths,2 Parking,N/A
,N/A,$165,"Room 5/32 - 34 Churchill Avenue,",FLORA HILL VIC 3550,1 Bed,1 Bath,1 Parking,N/A
,N/A,$550,"G11/110 Roberts Street,",WEST FOOTSCRAY VIC 3012,2 Beds,2 Baths,1 Parking,N/A
,N/A,$550.00 per week - Fully Furnished,"158 Mitchell Street,",QUARRY HILL VIC 3550,2 Beds,1 Bath,1 Parking,N/A
,N/A,$550 per week,"10/949 Albany Highway,",EAST VICTORIA PARK WA 6101,2 Beds,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
