Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pratish Rijal,City Homes Canberra,$660 per week,"29 21 Bakewell Street,",COOMBS ACT 2611,3 Beds,2 Baths,2 Parking,N/A
Georgia Haimes,Belle Property Canberra,$555 per week,"129/7 Irving Street,",PHILLIP ACT 2606,2 Beds,2 Baths,2 Parking,N/A
Client Concierge,The Property Collective,$635 per week,"30 Gluyas Street,",FARRER ACT 2607,3 Beds,1 Bath,2 Parking,N/A
Client Concierge,The Property Collective,$500 per week,"308/15 Bowes Street,",PHILLIP ACT 2606,1 Bed,1 Bath,1 Parking,N/A
Lauren Lockhart,Ray White Rochedale,$600,"411 Spring Valley Road,",LYONS QLD 4124,4 Beds,2 Baths,2 Parking,"14,163m²"
Kim Te,Motion Property,$480 per week,"116B/150 Keilor Road,",ESSENDON NORTH VIC 3041,1 Bed,1 Bath,1 Parking,N/A
Jay Pennay,CIVIUM,$500 per week,"74/179 Melrose Drive,",LYONS ACT 2606,2 Beds,1 Bath,1 Parking,N/A
Lauren Myles,Blackshaw Manuka,$700 per week,"5b/1 Cornelius Street,",COOMBS ACT 2611,3 Beds,2 Baths,2 Parking,N/A
HouseSmart Property Management Department,HouseSmart Real Estate Pty Ltd,$550 per week,"4K/45 King George Street,",VICTORIA PARK WA 6100,2 Beds,1 Bath,1 Parking,N/A
N/A,N/A,$600 per week,"230/7 Irving Street,",PHILLIP ACT 2606,2 Beds,2 Baths,2 Parking,N/A
Carolina  Hernandez,Gotham Property,$475,"225/2 Gillies Street,",ESSENDON NORTH VIC 3041,1 Bed,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Pierobon,Grandland Real Estate,$700,"25 Rynan Avenue,",EDMONDSON PARK NSW 2174,4 Beds,2 Baths,1 Parking,N/A
Sunny Lhamo,Independent Property Management South,$700 pw,"173/15 Mower Place,",PHILLIP ACT 2606,3 Beds,2 Baths,2 Parking,N/A
Natasha Quinn,Belle Property Hunter Region,$570 per week,"33 Alexander Street,",CESSNOCK NSW 2325,3 Beds,1 Bath,− Parking,N/A
Danielle Coady,Element Property Services,$650,"Unit 206/15 Irving St,",PHILLIP ACT 2606,2 Beds,2 Baths,2 Parking,N/A
Kanchan Dahal,Uplus Real Estate,$400,"1013/220 Melrose Drive,",PHILLIP ACT 2606,1 Bed,1 Bath,− Parking,N/A
Client Concierge,The Property Collective,$420 per week,"155/41 Philip Hodgins Street,",WRIGHT ACT 2611,1 Bed,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Certainty  Property Vic,Certainty Property,$270,"11 McCulloch Drive,",MELTON SOUTH VIC 3338,1 Bed,1 Bath,− Parking,N/A
Bernadette Clayton,Belle Property Hunter Region,$620 per week,"31 Verdehlo Avenue,",CESSNOCK NSW 2325,4 Beds,2 Baths,2 Parking,N/A
Debbie Stanojevic,CIVIUM,$5800 per week,"15 Timbarra Crescent,",O'MALLEY ACT 2606,7 Beds,8 Baths,8 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sunny Lhamo,Independent Property Management South,$540 pw,"6/22 Cornelius Street,",COOMBS ACT 2611,2 Beds,1 Bath,1 Parking,N/A
Property Management,Blackshaw Woden,$660 Per Week,"11/45 Enderby Street,",MAWSON ACT 2607,2 Beds,2 Baths,2 Parking,N/A
Natasha Quinn,Belle Property Hunter Region,$450 per week,"2/93 Pillar Street,",BELLBIRD NSW 2325,2 Beds,1 Bath,1 Parking,N/A
Natasha Quinn,Belle Property Hunter Region,$560 per week,"1/93 Pillar Street,",BELLBIRD NSW 2325,3 Beds,2 Baths,1 Parking,N/A
N/A,N/A,$615 pw,"21/26 Marr Street,",PEARCE ACT 2607,3 Beds,2 Baths,1 Parking,N/A
Mark Edwards,RUIZ PROPERTY,$430 pw,"702/6 Furzer Street,",PHILLIP ACT 2606,1 Bed,1 Bath,1 Parking,N/A
Kim Te,Motion Property,$610 Per Week,"801/5 Joseph Road,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,1 Parking,N/A
Harcourts Gawler,Harcourts Property Management Gawler,$495.00 per Week,"2 Weinstock Street,",TANUNDA SA 5352,3 Beds,1 Bath,2 Parking,N/A
Harrison McWhirter,Ray White Newcastle Lake Macquarie,$750,"16 Fontana Street,",CHISHOLM NSW 2322,4 Beds,2 Baths,2 Parking,N/A
N/A,N/A,$434 per week,"20/40 Philip Hodgins Street,",WRIGHT ACT 2611,2 Beds,2 Baths,2 Parking,N/A
Pippa Cahill,Vanilla Rentals,$600 weekly,"80 Lakes Drive,",LAIDLEY HEIGHTS QLD 4341,4 Beds,2 Baths,2 Parking,"6,000m²"
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vanessa King,Harcourts Property Centre,$750 per week,"4/20-26 Valley Road,",WELLINGTON POINT QLD 4160,4 Beds,2 Baths,2 Parking,N/A
Antoni Francki,Independent Property Group / North,$550,"148/41 Phillip Hodgins Street,",WRIGHT ACT 2611,2 Beds,2 Baths,2 Parking,N/A
Eva Liang,Homeplus Property Group,$550 pw,"82A Ada Norris Avenue,",DENMAN PROSPECT ACT 2611,2 Beds,1 Bath,1 Parking,N/A
Julie Weston,CIVIUM,$750 per week,"1806/15 Bowes Street,",PHILLIP ACT 2606,3 Beds,2 Baths,2 Parking,N/A
Matthew Findley,Ray White Canberra,$775,"15 Laseron Place,",MAWSON ACT 2607,4 Beds,2 Baths,2 Parking,"1,118m²"
Client Concierge,The Property Collective,$430 per week,"173/41 Philip Hodgins Street,",WRIGHT ACT 2611,1 Bed,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Seminara & Co Rentals,Seminara and Co,$580 per week,"606/76 Steve Irwin Avenue,",WRIGHT ACT 2611,2 Beds,2 Baths,2 Parking,N/A
Branden Charge,Belle Property Hunter Region,$680 per week,"33 Ferraby Drive,",METFORD NSW 2323,4 Beds,2 Baths,− Parking,N/A
Branden Charge,Belle Property Hunter Region,$690 per week,"14 McGann Drive,",NORTH ROTHBURY NSW 2335,4 Beds,2 Baths,2 Parking,431m²
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Branden Charge,Belle Property Hunter Region,$420 per week,"35/8 Steam Street,",MAITLAND NSW 2320,1 Bed,1 Bath,1 Parking,N/A
Andrew D'Aprano,NICOLE GERVASI PROPERTY GROUP,$800 per week,"8 Orford Street,",MOONEE PONDS VIC 3039,3 Beds,2 Baths,2 Parking,N/A
Anissa Wong,PRD Canberra CBD,$560,"97/121 Easty Street,",PHILLIP ACT 2606,2 Beds,1 Bath,2 Parking,N/A
Michael Guneratne,Hayman Partners,$850 per week,"54 Kidston Crescent,",CURTIN ACT 2605,4 Beds,2 Baths,1 Parking,N/A
Tim Miosge,Cream Residential,$550 per week,"15/6 Wilkins Street,",MAWSON ACT 2607,2 Beds,1 Bath,1 Parking,N/A
Seminara & Co Rentals,Seminara and Co,$650 per week,"816/15 Bowes Street,",PHILLIP ACT 2606,2 Beds,2 Baths,2 Parking,N/A
Danielle Ryan,The Core Advisory Team VIC,$750pw,"13/299 Dandenong Road,",PRAHRAN VIC 3181,2 Beds,1 Bath,1 Parking,N/A
Certainty  Property Vic,Certainty Property,$200,"2 Caspian Court,",NEWBOROUGH VIC 3825,1 Bed,1 Bath,− Parking,N/A
Rachel Walker,Luton Properties Tuggeranong,$450 pw,"1/3 Garran Place,",GARRAN ACT 2605,2 Beds,1 Bath,1 Parking,N/A
James Kartsonas,Ray White Canberra,$750,"16 Mackaness Place,",GARRAN ACT 2605,4 Beds,2 Baths,1 Parking,N/A
Gabrielle Power,Morrell Property,$740 Per Week,"35/17 Eldridge Crescent,",GARRAN ACT 2605,3 Beds,2 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lana Quilkey,Living Here Cush Partners,$600 per week,"324/1000 Ann St,",FORTITUDE VALLEY QLD 4006,2 Beds,1 Bath,1 Parking,N/A
Sophie Curlewis,Yass Valley Property,$610 pw,"8 Walker Place,",YASS NSW 2582,4 Beds,2 Baths,2 Parking,755m²
Lana Quilkey,Living Here Cush Partners,$550,"32/22 Barry Parade,",FORTITUDE VALLEY QLD 4006,1 Bed,1 Bath,− Parking,N/A
Michelle Gibb,One Agency Brindabella,$550 per week,"810/11 Launceston Street,",PHILLIP ACT 2606,2 Beds,2 Baths,1 Parking,N/A
Lauren Wind,MARQ Property,$480 Per Week,"C213/1 Holborow Avenue,",DENMAN PROSPECT ACT 2611,1 Bed,1 Bath,1 Parking,N/A
Client Concierge,The Property Collective,$450 per week,"501/15 Bowes Street,",PHILLIP ACT 2606,1 Bed,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,$580 per week,"1412/2 Furzer Street,",PHILLIP ACT 2606,2 Beds,2 Baths,1 Parking,N/A
Kym Layton,"Luton Weston Creek, Woden & Molonglo Valley",$725 pw,"22 Coane Street,",HOLDER ACT 2611,3 Beds,1 Bath,1 Parking,699m²
Tony Yip,PRD Canberra CBD,$570,"22 Pannell Street,",WHITLAM ACT 2611,2 Beds,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Erin Valentinis,Belle Property Hunter Region,$610 per week,"116 Wollombi Road,",CESSNOCK NSW 2325,3 Beds,1 Bath,4 Parking,613m²
Georgia Haimes,Belle Property Canberra,$560 per week,"131/41 Philip Hodgins Street,",WRIGHT ACT 2611,2 Beds,2 Baths,2 Parking,N/A
Glenda Mullins,Great Neighbours Real Estate,"$1,025.00 per week","7/99 Eastern Valley Way,",CASTLECRAG NSW 2068,4 Beds,3 Baths,2 Parking,N/A
N/A,N/A,$350 per week,"8A Scottsdale Street,",LYONS ACT 2606,1 Bed,1 Bath,− Parking,N/A
Tim Miosge,Cream Residential,$430 per week,"913/220 Melrose Drive,",PHILLIP ACT 2606,1 Bed,1 Bath,− Parking,N/A
Amy Meier,Canberra Property Partners,$1050 per week,"7 David Fleay Street,",WRIGHT ACT 2611,5 Beds,3 Baths,2 Parking,N/A
Kim Te,Motion Property,$850 per week,"13/8-10 Lincoln Road,",ESSENDON VIC 3040,3 Beds,2 Baths,2 Parking,N/A
Certainty  Property Vic,Certainty Property,$450,"114 Anniversary Avenue,",WYNDHAM VALE VIC 3024,4 Beds,2 Baths,2 Parking,N/A
Zhanna Bowles,Little Bird Properties,$830 per week,"1 Brereton Street,",GARRAN ACT 2605,3 Beds,2 Baths,1 Parking,N/A
Leasing Archer,Archer Canberra,$475 weekly,"62/116 Easty St,",PHILLIP ACT 2606,1 Bed,1 Bath,1 Parking,N/A
Abbey O'Halloran-Kemp & Georgia Hall,Someday Property,$750 per week,"1910/49 Furzer Street,",PHILLIP ACT 2606,3 Beds,2 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harrison McWhirter,Ray White Newcastle Lake Macquarie,$800,"3A Jobling Street,",CAMERON PARK NSW 2285,4 Beds,2 Baths,2 Parking,N/A
Grant McKay,NU Management,$2500 per night,"281D Irvines Road,",BELLAWONGARAH NSW 2535,6 Beds,5 Baths,4 Parking,N/A
Debbie Stanojevic,CIVIUM,$500Per week,"7/97 Eastern valley way,",BELCONNEN ACT 2617,1 Bed,1 Bath,1 Parking,N/A
N/A,N/A,$895 pw,"54 Roseberry Street,",ASCOT VALE VIC 3032,4 Beds,1 Bath,2 Parking,N/A
Salt Property Management,Salt Property Newcastle,$730 per week,"13 Kentwood Street,",THORNTON NSW 2322,4 Beds,2 Baths,2 Parking,560m²
Madison Walsh,Hive Property,$590 Per Week,"2101/15 Bowes Street,",PHILLIP ACT 2606,1 Bed,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jamie Do Pao,Wolf Property Group,Get Ready: Deposit Taken,"5/220 The Boulevarde,",PUNCHBOWL NSW 2460,1 Bed,1 Bath,− Parking,N/A
Dominic Morabito,Raine & Horne,$500 Per Week,"21/15 Mower Place,",PHILLIP ACT 2606,1 Bed,1 Bath,1 Parking,N/A
Andrew D'Aprano,NICOLE GERVASI PROPERTY GROUP,$550 Per Week,"1119/40 Hall Street,",MOONEE PONDS VIC 3039,1 Bed,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Client Concierge,The Property Collective,$560 per week,"48/15 Hoolihan Street,",DENMAN PROSPECT ACT 2611,2 Beds,2 Baths,1 Parking,N/A
Ned Hibbert,Maloney's the Estate Agent,$700 weekly,"26/17 Eldridge Crescent,",GARRAN ACT 2605,3 Beds,2 Baths,2 Parking,N/A
Melanie Jones,Jellis Craig Inner West,$575.00,"366 Buckley Street,",ESSENDON VIC 3040,3 Beds,1 Bath,2 Parking,N/A
Certainty  Property Vic,Certainty Property,$275,"16 Astral Walk,",WOLLERT VIC 3750,1 Bed,1 Bath,− Parking,N/A
Hannah Zadeh,McGrath St Kilda,$565 pw,"3201/318 Queen Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,N/A
Sunny Lhamo,Independent Property Management South,$680 pw,"228/15 Irving Street,",PHILLIP ACT 2606,2 Beds,2 Baths,2 Parking,N/A
Ganesh Pandey,Hodgkinson Real Estate,$450 per week,"147/98 Corinna Street,",PHILLIP ACT 2606,1 Bed,1 Bath,1 Parking,N/A
Abir Ayadi,Dingle Partners,$480 pw,"204/34 Princeton Terrace,",BUNDOORA VIC 3083,2 Beds,1 Bath,1 Parking,N/A
Certainty Property NSW,Certainty Property,$560,"157/11 Irving Street,",PHILLIP ACT 2606,2 Beds,2 Baths,1 Parking,N/A
Jasmine Palioportas,Buxton Oakleigh,$550.00,"606/2A Clarence Street,",MALVERN EAST VIC 3145,1 Bed,1 Bath,1 Parking,N/A
Jayde Cashion,Jellis Craig Fitzroy,"$1,200.00","2a Graves Street,",ESSENDON VIC 3040,4 Beds,3 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harley Williamson,CTC Property Group,$520 per week,"17C/12 Albermarle Place,",PHILLIP ACT 2606,2 Beds,2 Baths,2 Parking,N/A
Nathan Roberts,Marshall White Boroondara,"$1,690.00","132 Wattle Valley Road,",CAMBERWELL VIC 3124,5 Beds,3 Baths,2 Parking,N/A
Stuart Dovers,Dovers & Co Property Services Pty Ltd,$480 per week,"708/45 Furzer Street,",PHILLIP ACT 2606,1 Bed,1 Bath,1 Parking,N/A
Lauren Wind,MARQ Property,$630 Per Week,"132/2 Woodberry Avenue,",COOMBS ACT 2611,2 Beds,2 Baths,2 Parking,N/A
Alison Hatch,Best Nest Property Management,$1100pw,"71 Slopes Road,",NORTH RICHMOND NSW 2754,4 Beds,2 Baths,2 Parking,N/A
Karen McCann,Yass Valley Property,$430 pw,"48 Church Street,",YASS NSW 2582,2 Beds,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rose,Distinct,$600 Per Week,"403/220 Melrose Drive,",PHILLIP ACT 2606,2 Beds,2 Baths,1 Parking,N/A
Sunny Lhamo,Independent Property Management South,$525 pw,"4/135 Port Jackson Circuit,",PHILLIP ACT 2606,2 Beds,1 Bath,1 Parking,N/A
Seminara & Co Rentals,Seminara and Co,$550 per week,"1117/220 Melrose Drive,",PHILLIP ACT 2606,2 Beds,2 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nalin Ratnaike,Red Brick Properties,$625 per week,"52/9 Irving Street,",PHILLIP ACT 2606,2 Beds,2 Baths,2 Parking,N/A
Antoni Francki,Independent Property Group / North,$840 pw,"38 Trumble Street,",PEARCE ACT 2607,4 Beds,2 Baths,4 Parking,N/A
Andrew D'Aprano,NICOLE GERVASI PROPERTY GROUP,$475 per week,"1/1 Gracedale Court,",STRATHMORE VIC 3041,2 Beds,1 Bath,1 Parking,N/A
Chloe Hamilton,Belle Property Hunter Region,$495 per week,"1/22 Glen Ayr Avenue,",CLIFTLEIGH NSW 2321,2 Beds,1 Bath,2 Parking,N/A
Summer Bennett,Aurora Realty Brisbane,$475 per week,"1/70 Latrobe Street,",EAST BRISBANE QLD 4169,2 Beds,1 Bath,1 Parking,N/A
RE/MAX Success,RE MAX Success,$600 per week,"42 Panoramic Drive,",PRESTON QLD 4352,4 Beds,2 Baths,2 Parking,N/A
Rentals Team,Merton Property Co.,$600 per week,"24 Diggings Road,",IMBIL QLD 4570,3 Beds,2 Baths,3 Parking,N/A
Property Management,Blackshaw Woden,$510 per week,"13/7 Irving Street,",PHILLIP ACT 2606,1 Bed,1 Bath,1 Parking,N/A
Walter Pezzutto,Belle Property Annandale,$950 per week,"293 Young Street,",ANNANDALE NSW 2038,2 Beds,1 Bath,− Parking,N/A
Antoni Francki,Independent Property Group / North,$610 pw,"70/30 Pearlman Street,",COOMBS ACT 2611,2 Beds,2 Baths,1 Parking,N/A
Clementina Tralongo,Dingle Partners,$420 pw,"1/16 Lyon Street,",ESSENDON VIC 3040,2 Beds,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Angus Brayshaw,Richardson & Wrench Projects Victoria,$570 per week,"307/88 Mount Alexander Road,",TRAVANCORE VIC 3032,2 Beds,2 Baths,1 Parking,N/A
Ursula Aebi,The Agency Inner West - Strathfield,$520 Per Week,"11/7 Peach Tree Road,",MACQUARIE PARK NSW 2113,1 Bed,1 Bath,1 Parking,N/A
HomeGround Enquiries,HomeGround Real Estate Canberra,$385 per week,"2/100 Port Jackson Circuit,",PHILLIP ACT 2606,2 Beds,1 Bath,1 Parking,N/A
Bailey Wilson,Hayman Partners,$480 per week,"18/44 Curtin Place,",CURTIN ACT 2605,1 Bed,1 Bath,1 Parking,N/A
William Saritschniy,HEDLEY REAL ESTATE,$550 weekly,"6 Grandvalley Dr,",KEILOR EAST VIC 3033,2 Beds,2 Baths,2 Parking,N/A
Kym Layton,"Luton Weston Creek, Woden & Molonglo Valley",$775 pw,"30 Namatjira Drive,",STIRLING ACT 2611,4 Beds,2 Baths,2 Parking,804m²
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adele Mitchell,McConnell Bourn - North Shore,"$1,850 Per Week","310A Bobbin Head Road,",TURRAMURRA NSW 2074,5 Beds,3 Baths,2 Parking,N/A
Certainty  Property Vic,Certainty Property,$240,"6 Songlark Street,",MELTON SOUTH VIC 3338,1 Bed,1 Bath,− Parking,N/A
Annette Clarke,Hayman Partners,$750 per week,"38 Lambrigg Street,",FARRER ACT 2607,4 Beds,2 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Radhey Arora,Above Property Group,$950 pw,"26 Goldbloom Street,",DENMAN PROSPECT ACT 2611,4 Beds,2 Baths,2 Parking,N/A
HomeGround Enquiries,HomeGround Real Estate Canberra,$576 per week,"6 Crane Place,",FARRER ACT 2607,4 Beds,2 Baths,1 Parking,N/A
Sean Rogers,Blackshaw Weston Creek Molonglo,$460 pw,"8/22 Cornelius Street,",COOMBS ACT 2611,1 Bed,1 Bath,1 Parking,N/A
Simon Porter,Ray White Canberra,$800,"2/185 Bushrangers Hill Road,",ADAMINABY NSW 2629,5 Beds,3 Baths,− Parking,N/A
Adam Todisco,Buxton Camberwell,$520.00,"4/63 Wattle Valley Road,",CANTERBURY VIC 3126,2 Beds,1 Bath,1 Parking,N/A
Rent Me,Manage Me Property Group,$470,"52/179 Melrose Drive,",LYONS ACT 2606,2 Beds,1 Bath,1 Parking,N/A
Annette Clarke,Hayman Partners,$500 per week,"8/143 Port Jackson Circuit,",PHILLIP ACT 2606,2 Beds,1 Bath,1 Parking,N/A
Kavinda Kudage Don,Linage,$430 per week ($1868 pcm),"4 Aspen St,",WINTER VALLEY VIC 3358,3 Beds,2 Baths,2 Parking,N/A
N/A,N/A,$490,"907/220 Melrose Drive,",PHILLIP ACT 2606,1 Bed,1 Bath,1 Parking,N/A
Paul Kerin,EnVogue Property Management,$725.00 per week,"67/98 Corinna Street,",PHILLIP ACT 2606,3 Beds,2 Baths,2 Parking,N/A
Kimberly Castle,AM Property Agency,$575 pw,"417/220 Melrose Drive,",PHILLIP ACT 2606,2 Beds,2 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ella Hicks,TAYLORS Property Specialists,"$1,200 p.w","75 Honeyeater Crescent,",CANNON VALLEY QLD 4800,4 Beds,2 Baths,3 Parking,N/A
Leasing Department,Vanilla Rentals,$620 weekly,"21 Harvey Road,",FOREST HILL QLD 4342,3 Beds,2 Baths,6 Parking,N/A
Kim Te,Motion Property,$590 per week,"1002/1 Joseph Road,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,1 Parking,N/A
Elouise Larkin,MOVABLE,$600 Per Week,"4 Pinehurst Terrace,",CESSNOCK NSW 2325,4 Beds,2 Baths,2 Parking,N/A
Natasha Quinn,Belle Property Hunter Region,$480 per week,"12/20 Chidgey Street,",CESSNOCK NSW 2325,2 Beds,1 Bath,1 Parking,N/A
Andreas Haas,OZ Property Real Estate,$560,"69/4 Wilkins Street,",MAWSON ACT 2607,2 Beds,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paco Yip,Trusted Property Management,$670 - $680 per week,"2004/2 Furzer Street,",PHILLIP ACT 2606,2 Beds,2 Baths,1 Parking,N/A
Leasing Department,Vanilla Rentals,$600 weekly,"32 Bentley Drive,",REGENCY DOWNS QLD 4341,4 Beds,2 Baths,1 Parking,"6,001m²"
N/A,N/A,$530 per week,"1305/49 Furzer Street,",PHILLIP ACT 2606,2 Beds,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jade Ivory,Hive Property,$700 Per Week,"43 MacAlister Crescent,",CURTIN ACT 2605,4 Beds,1 Bath,1 Parking,N/A
Natasha Quinn,Belle Property Hunter Region,$950 per week,"43 Aberdare Road,",CESSNOCK NSW 2325,5 Beds,4 Baths,3 Parking,N/A
Kimberly Castle,AM Property Agency,$580 pw,"1705/2 Furzer Street,",PHILLIP ACT 2606,1 Bed,1 Bath,1 Parking,N/A
Stacey Yates,Elders Real Estate Yamba | Maclean,$600 pw,"450 Yamba Road,",MACLEAN NSW 2463,3 Beds,2 Baths,4 Parking,N/A
Michael Guneratne,Hayman Partners,$620 per week,"15/44 Curtin Place,",CURTIN ACT 2605,2 Beds,2 Baths,1 Parking,N/A
Leasing@ Archer,Archer Canberra,$575 weekly,"308/2 Furzer St,",PHILLIP ACT 2606,2 Beds,2 Baths,1 Parking,N/A
Simran Bajwa,Belle Property Canberra,$495 per week,"47/53 Holborow Avenue,",DENMAN PROSPECT ACT 2611,1 Bed,1 Bath,1 Parking,N/A
Ella Hicks,TAYLORS Property Specialists,$550 p.w,"21a Ripple Creek Way,",CANNON VALLEY QLD 4800,2 Beds,1 Bath,1 Parking,N/A
Alicia Cannizzaro,Jellis Craig Northcote,$590.00,"4/34 Dunne Street,",KINGSBURY VIC 3083,3 Beds,1 Bath,1 Parking,N/A
Lauren Myles,Blackshaw Manuka,$1200 per week,"17 Galbraith Street,",BANKS ACT 2906,6 Beds,5 Baths,3 Parking,N/A
Michael Guneratne,Hayman Partners,$600 per week,"123/5 Burnie Street,",LYONS ACT 2606,2 Beds,2 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Keith Brown,LJ Hooker Adelaide Metro,$585 Per Week,"2/11-13 Tolley Road,",HOPE VALLEY SA 5090,2 Beds,1 Bath,1 Parking,N/A
Michael Guneratne,Hayman Partners,$650 per week,"16 Edgeworth Parade,",COOMBS ACT 2611,3 Beds,2 Baths,2 Parking,N/A
Samuel Hinchcliffe,Distinct,$760 Per Week,"311/220 Melrose Drive,",PHILLIP ACT 2606,3 Beds,2 Baths,2 Parking,N/A
Jessica Hudson,Luton Properties Tuggeranong,$680 pw,"24/20 Greenwood Street,",DENMAN PROSPECT ACT 2611,3 Beds,2 Baths,2 Parking,N/A
Leasing Department,Vanilla Rentals,$900 weekly,"26A Otto Road,",GLENORE GROVE QLD 4342,4 Beds,2 Baths,2 Parking,N/A
Matthew Findley,Ray White Canberra,$650,"130/15 Irving Street,",PHILLIP ACT 2606,2 Beds,2 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nalin Ratnaike,Red Brick Properties,$570 per week,"11A Darke Street,",TORRENS ACT 2607,1 Bed,1 Bath,− Parking,N/A
Leasing Archer,Archer Canberra,"$1,100 weekly","50 Curlewis Cres,",GARRAN ACT 2605,4 Beds,2 Baths,2 Parking,N/A
Kaylee Wang,RUIZ PROPERTY,$520 pw,"307/6 Furzer Street,",PHILLIP ACT 2606,2 Beds,2 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Evelyne Surja,Kay & Burton Stonnington,$1695 Per Week,"2 Rathmines Street,",TOORAK VIC 3142,3 Beds,2 Baths,2 Parking,N/A
Debbie Stanojevic,CIVIUM,$550.00 per week,"7/5 Fitchett Street,",GARRAN ACT 2605,3 Beds,1 Bath,1 Parking,N/A
Ned Hibbert,Maloney's the Estate Agent,$690 weekly,"30/7 Hopegood Place,",GARRAN ACT 2605,3 Beds,2 Baths,2 Parking,N/A
